Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
43.9,0.1308169999999999,-0.1185966666666659,3.308624691357974
43.95,0.132435,-0.0093283333333335,2.4962611111110937
44.0,0.1324179999999999,0.0584366666666659,2.8691672839506643
44.05,0.130991,0.2466544444444442,3.7189398148147617
44.1,0.1530749999999999,0.5026083333333276,3.229324382715982
44.15,0.1877929999999999,0.6371738888888817,1.3651407407407696
44.2,0.2228079999999999,0.6384433333333315,-0.6741358024690176
44.25,0.2547419999999999,0.5487605555555701,-2.3359311728395533
44.3,0.2804809999999999,0.3868566666666656,-3.5277820987654973
44.35,0.2954299999999999,0.176184999999998,-4.204051234567877
44.4,0.2988759999999999,-0.0548211111111104,-4.341219135802436
44.45,0.2897389999999999,-0.2798605555555547,-3.92622006172844
44.5,0.269395,-0.4678855555555679,-2.9931145061729
44.55,0.2405409999999999,-0.5967972222222206,-1.590273148148036
44.6,0.206728,-0.6438127777777705,0.2091234567901678
44.65,0.172462,-0.5920161111111045,2.2141135802468574
44.7,0.1404749999999999,-0.39750111111111,3.5831617283949906
44.75,0.1303469999999999,-0.1576216666666689,3.4755175925926665
44.8,0.1306249999999999,-0.016812777777778,2.7220200617283923
44.85,0.132383,0.0623438888888885,2.803886111111085
44.9,0.1318959999999999,0.2228438888888868,3.523302469135787
44.95,0.1496119999999999,0.4668949999999983,3.2562626543210675
45.0,0.1834599999999999,0.6190338888889062,1.5952003086420092
45.05,0.2178999999999999,0.6358227777777762,-0.4131925925927097
45.1,0.2504089999999999,0.5583133333333276,-2.1048589506173045
45.15,0.276513,0.4069461111111066,-3.3404540123456243
45.2,0.2931329999999999,0.2054288888888881,-4.080710802469089
45.25,0.2980399999999999,-0.0211461111111116,-4.306394135802553
45.3,0.2910269999999999,-0.2469166666666657,-3.9852027777777255
45.35,0.272075,-0.4409366666666618,-3.1300256172838954
45.4,0.244614,-0.5784377777777716,-1.7867817901234817
45.45,0.2113049999999999,-0.6367038888888872,-0.0326111111112306
45.5,0.177369,-0.5982538888889058,1.9532222222222648
45.55,0.144756,-0.4214366666666653,3.39765154320995
45.6,0.1321219999999999,-0.185771666666665,3.424683641975294
45.65,0.131635,-0.0405399999999998,2.718111111111092
45.7,0.1322609999999999,0.0365033333333336,2.798592901234571
45.75,0.130329,0.1953850000000033,3.5654716049383506
45.8,0.146427,0.4434061111111095,3.381013888888812
45.85,0.1793009999999999,0.6051722222222153,1.7859836419752595
45.9,0.2133229999999999,0.6328155555555486,-0.1896999999999512
45.95,0.2458319999999999,0.5682633333333316,-1.8876191358023613
46.0,0.2729979999999999,0.4279538888889002,-3.1782814814815428
46.05,0.2909049999999999,0.2324616666666663,-3.993471296296332
46.1,0.297414,0.0075783333333334,-4.2791586419752745
46.15,0.291688,-0.2178077777777756,-4.0079907407407225
46.2,0.2744419999999999,-0.4138394444444435,-3.2179753086420457
46.25,0.2480939999999999,-0.5564172222222368,-1.9765086419753493
46.3,0.2161249999999999,-0.6270327777777763,-0.3397216049381561
46.35,0.1822069999999999,-0.6085755555555487,1.5959830246913829
46.4,0.1491589999999999,-0.4590938888888837,3.2170682098764787
46.45,0.131861,-0.224118333333333,3.5750283950616786
46.5,0.1303989999999999,-0.0494166666666664,2.9392953703704174
46.55,0.132017,0.0413422222222222,2.727346913580225
46.6,0.1321219999999999,0.1711699999999984,3.338736419753036
46.65,0.1429639999999999,0.4022194444444402,3.4074796296296146
46.7,0.174759,0.5858372222222205,2.055648456790221
46.75,0.2083639999999999,0.6319505555555724,0.0947848765432068
46.8,0.24162,0.580216666666665,-1.6733104938272652
46.85,0.26943,0.4467894444444394,-3.026782407407412
46.9,0.2884859999999999,0.2586577777777748,-3.888326543209824
46.95,0.2965789999999999,0.0382488888888888,-4.242183024691344
47.0,0.292541,-0.1872361111111161,-4.052226851851935
47.05,0.2768439999999999,-0.387813888888888,-3.3396367283949857
47.1,0.2517309999999999,-0.538857777777772,-2.1611953703703137
47.15,0.2202849999999999,-0.6201072222222154,-0.565269135802504
47.2,0.1865929999999999,-0.6130249999999983,1.3431626543208737
47.25,0.1535099999999999,-0.4838961111111249,3.0530231481482217
47.3,0.1325919999999999,-0.2489688888888884,3.5650018518519038
47.35,0.1317909999999999,-0.0656877777777774,2.924747530864196
47.4,0.1322089999999999,0.0168205555555555,2.674894753086418
47.45,0.1307639999999999,0.1434844444444447,3.3480296296296626
47.5,0.14004,0.3772738888888991,3.511258024691441
47.55,0.170686,0.5696361111111092,2.238947222222119
47.6,0.2036999999999999,0.6274327777777708,0.3110864197530465
47.65,0.2371129999999999,0.5873749999999937,-1.4653811728394504
47.7,0.265567,0.4638238888888877,-2.850908024691268
47.75,0.285719,0.2841400000000075,-3.764394135802544
47.8,0.2954129999999999,0.0685561111111109,-4.188799691358031
47.85,0.292976,-0.1562533333333316,-4.072251234567857
47.9,0.278949,-0.360181666666663,-3.4198314814814768
47.95,0.2550549999999999,-0.5169077777777765,-2.2920941358025586
48.0,0.2244789999999999,-0.604445000000016,-0.7718666666666838
48.05,0.1914829999999999,-0.6066633333333317,1.0041719135803553
48.1,0.159688,-0.5076133333333275,2.7122052469135816
48.15,0.134906,-0.2955183333333303,3.537419753086356
48.2,0.130521,-0.088325555555556,3.1320712962962647
48.25,0.1324179999999999,0.0163983333333337,2.689440740740777
48.3,0.132244,0.1201355555555559,3.191650308641936
48.35,0.1372209999999999,0.3405683333333297,3.528670370370303
48.4,0.1667529999999999,0.5489699999999939,2.4430024691358088
48.45,0.1992269999999999,0.6200355555555541,0.5567018518519639
48.5,0.2325359999999999,0.5928594444444601,-1.235750925925954
48.55,0.2616339999999999,0.4804261111111098,-2.6728703703704544
48.6,0.283022,0.3076205555555522,-3.643815432098756
48.65,0.2938979999999999,0.0967499999999988,-4.121904012345637
48.7,0.2931329999999999,-0.1251899999999996,-4.0773882716049545
48.75,0.280777,-0.3315988888888976,-3.5139166666667374
48.8,0.2582579999999999,-0.4951977777777765,-2.4778391975307694
48.85,0.2286729999999999,-0.5952777777777714,-1.0228018518517992
48.9,0.1956939999999999,-0.6112761111111042,0.7295765432098364
48.95,0.163795,-0.5319922222222203,2.5333561728394134
49.0,0.135655,-0.3203483333333412,3.502969135802552
49.05,0.132191,-0.1124794444444446,3.1710632716049614
49.1,0.130469,-0.0019016666666666,2.7442095679012266
49.15,0.132157,0.1063283333333325,3.175572839506166
49.2,0.1348189999999999,0.3156561111111104,3.531151851851913
49.25,0.163186,0.5303016666666821,2.557881790123515
49.3,0.194911,0.6093194444444429,0.7447682098764262
49.35,0.2277849999999999,0.5941705555555491,-1.0038287037037354
49.4,0.2572999999999999,0.4957888888888836,-2.463612654320933
49.45,0.280098,0.331692777777777,-3.4990876543209217
49.5,0.2920889999999999,0.1263661111111143,-4.046835493827241
49.55,0.2932549999999999,-0.0930411111111108,-4.083395679012321
49.6,0.282447,-0.30259833333333,-3.5995145061727896
49.65,0.26139,-0.4723666666666616,-2.6295703703703794
49.7,0.2327279999999999,-0.5814649999999985,-1.2396385802470176
49.75,0.2002889999999999,-0.6100100000000162,0.4634191358024755
49.8,0.1681979999999999,-0.546153888888887,2.269186419753177
49.85,0.1392739999999999,-0.3549338888888851,3.409183024691343
49.9,0.131547,-0.138542222222221,3.273988580246867
49.95,0.130991,-0.0122844444444445,2.798953086419738
50.0,0.1315999999999999,0.0933827777777785,3.0590941358025234
50.05,0.1352539999999999,0.2807144444444439,3.461190123456733
50.1,0.157669,0.4976916666666612,2.757566358024631
50.15,0.1906299999999999,0.605743888888882,1.032016358024722
50.2,0.2232949999999999,0.5987349999999985,-0.7885774691356918
50.25,0.253367,0.5100133333333468,-2.2882716049383207
50.3,0.2769659999999999,0.3537255555555543,-3.368156172839567
50.35,0.2904529999999999,0.1547483333333315,-3.972520370370345
50.4,0.2931849999999999,-0.0631255555555548,-4.078128703703672
50.45,0.2838919999999999,-0.2739705555555547,-3.6616274691358455
50.5,0.2642959999999999,-0.4481900000000118,-2.7684830246914127
50.55,0.2367999999999999,-0.566401666666665,-1.4623521604937215
50.6,0.2047789999999999,-0.6081738888888822,0.1774842592593013
50.65,0.1727569999999999,-0.5614961111111048,1.9830265432098269
50.7,0.1427199999999999,-0.3929277777777764,3.3177577160493144
50.75,0.1302939999999999,-0.164435555555558,3.393085185185257
50.8,0.1316519999999999,-0.0218555555555557,2.845812962962961
50.85,0.131078,0.0730622222222218,3.0069981481481167
50.9,0.133444,0.2560544444444419,3.470426851851834
50.95,0.1541889999999999,0.4765405555555539,2.8745240740741536
51.0,0.186419,0.5955505555555719,1.2174308641975533
51.05,0.218892,0.5988094444444428,-0.5931407407408523
51.1,0.2492079999999999,0.5195811111111052,-2.0996077160494
51.15,0.2734499999999999,0.3734377777777737,-3.2080966049382176
51.2,0.2884169999999999,0.181434444444444,-3.866951234567861
51.25,0.2924189999999999,-0.0320600000000007,-4.046585802469216
51.3,0.2851449999999999,-0.2430949999999992,-3.722721296296247
51.35,0.266942,-0.4241944444444398,-2.903629320987603
51.4,0.2404719999999999,-0.5506116666666608,-1.6426706790123706
51.45,0.209007,-0.6021122222222209,-0.0396077160494954
51.5,0.1771599999999999,-0.5672916666666826,1.7442120370370748
51.55,0.1466879999999999,-0.4150172222222208,3.1409398148148866
51.6,0.131913,-0.1918005555555538,3.346274691358012
51.65,0.1323649999999999,-0.0449011111111108,2.8645037037036847
51.7,0.1305899999999999,0.0520266666666671,3.013726851851862
51.75,0.132383,0.2321822222222273,3.4874391975309416
51.8,0.1511599999999999,0.4527716666666651,2.9785929012344874
51.85,0.1824329999999999,0.5822244444444381,1.4088472222221755
51.9,0.214507,0.5975083333333266,-0.3768787037036574
51.95,0.2451529999999999,0.5297411111111096,-1.9050805555554553
52.0,0.2701609999999999,0.3926450000000104,-3.064345061728455
52.05,0.2864149999999999,0.2065305555555551,-3.7853429012346
52.1,0.291862,-0.0055216666666664,-4.014530864197496
52.15,0.285771,-0.2156116666666645,-3.7306932098765273
52.2,0.2690989999999999,-0.3965505555555545,-2.987419753086487
52.25,0.244196,-0.5295477777777917,-1.8385435185185568
52.3,0.213584,-0.5951077777777763,-0.3231904320986567
52.35,0.1816329999999999,-0.5766416666666602,1.438391975308666
52.4,0.150725,-0.4447949999999951,2.94278950617278
52.45,0.132766,-0.2287761111111108,3.38356450617279
52.5,0.131165,-0.0625750000000003,2.987711419753135
52.55,0.1306249999999999,0.0390850000000002,3.0179123456789885
52.6,0.130851,0.2081483333333313,3.4748061728394486
52.65,0.1478889999999999,0.4316588888888841,3.0709003086419666
52.7,0.178535,0.5696322222222207,1.58343734567911
52.75,0.2099469999999999,0.5960883333333489,-0.1649219135802533
52.8,0.2410289999999999,0.540680555555554,-1.7123163580247864
52.85,0.266907,0.4118105555555511,-2.9228932098765448
52.9,0.28431,0.2313988888888863,-3.6988780864197057
52.95,0.2911489999999999,0.0226894444444443,-3.991474382716039
53.0,0.286659,-0.1878438888888938,-3.779740740740817
53.05,0.271397,-0.374228888888888,-3.091669135802396
53.1,0.2472589999999999,-0.5126699999999945,-1.9887549382715517
53.15,0.2177089999999999,-0.5872511111111046,-0.5205478395062065
53.2,0.185618,-0.5803488888888872,1.2235407407406318
53.25,0.1546579999999999,-0.4623544444444576,2.7903753086420404
53.3,0.1345929999999999,-0.251343333333333,3.3513830246914096
53.35,0.1322259999999999,-0.0799055555555548,3.0063256172839457
53.4,0.130695,0.0269188888888887,2.948120679012337
53.45,0.1319479999999999,0.1813949999999998,3.364145370370407
53.5,0.1449999999999999,0.3954288888888997,3.1429111111111845
53.55,0.1743929999999999,0.5522411111111094,1.8120086419752088
53.6,0.2058579999999999,0.591088333333327,0.0743157407407038
53.65,0.2365039999999999,0.5472111111111052,-1.4889901234567386
53.7,0.2633389999999999,0.4301511111111101,-2.749035185185102
53.75,0.281891,0.2562666666666735,-3.5921753086420485
53.8,0.290157,0.0516049999999998,-3.953746913580252
53.85,0.287285,-0.1590722222222206,-3.8124672839505753
53.9,0.2734329999999999,-0.3490622222222186,-3.1831679012345635
53.95,0.2505649999999999,-0.4938433333333321,-2.135488580246999
54.0,0.2215029999999999,-0.5759550000000152,-0.7361632716049545
54.05,0.190021,-0.5778155555555541,0.8865879629630667
54.1,0.1604009999999999,-0.4940094444444389,2.514527777777781
